Time,x (km),y (km),z (km),Dx (km/s),Dy (km/s),Dz (km/s),Distance (km),Vel. (km/s)
2022-148/00:00.000000,-60694855.87181892,-128832635.8212013,-56019413.07503536,27.01008792893629,-11.04847165574139,-4.958713363318473,153035578.2921429,29.60071644531841
2022-149/00:00.000000,-58352939.03689048,-129768882.6406198,-56439809.24330495,27.19973047891947,-10.62350923823545,-4.772481634856565,153070181.49678487,29.58818797452419
2022-150/00:00.000000,-55994972.29433387,-130668303.4579284,-56844061.29025954,27.38160788717794,-10.19603478539819,-4.585016366530315,153104179.416459,29.575901523259876
2022-151/00:00.000000,-53621627.82810987,-131530685.9741785,-57232065.0437337,27.55569052941392,-9.766158580253517,-4.396372308554612,153137551.2176698,29.563863472877106
2022-152/00:00.000000,-51233580.34906071,-132355827.7040981,-57603720.92117576,27.721950299311,-9.33399721686849,-4.206599908861754,153170276.31556088,29.552081402757636
2022-153/00:00.000000,-48831507.86791572,-133143536.0845481,-57958933.34147411,27.88032951031299,-8.899663159915953,-4.015742428892195,153202334.56391296,29.54053088925112
2022-154/00:00.000000,-46416090.43312819,-133893628.3574167,-58297611.56446849,28.03086423073668,-8.463270715596083,-3.823875891381828,153233706.08300254,29.529279157476065
2022-155/00:00.000000,-43988007.91591842,-134605931.6154622,-58619670.40637872,28.17349759386778,-8.024936291206958,-3.631041683778815,153264371.02285013,29.51829996559665
2022-156/00:00.000000,-41547943.928146,-135280283.0297314,-58925028.54305928,28.30820809795016,-7.584772857144681,-3.437294184493106,153294310.42951643,29.507599297843257
2022-157/00:00.000000,-39096583.93719999,-135916529.4786096,-59213609.41850895,28.43497430287468,-7.142894431798833,-3.242687268652209,153323505.70423314,29.49718164827354
2022-158/00:00.000000,-36634615.33333483,-136514527.7375448,-59485340.92600266,28.55377541115948,-6.699413865078561,-3.047272636023018,153351938.71976015,29.487049816568582
2022-159/00:00.000000,-34162726.89721987,-137074144.1977558,-59740155.73971214,28.66459355730911,-6.254446085548246,-2.851103244648064,153379591.61637586,29.477208303270505
2022-160/00:00.000000,-31681609.20564309,-137595255.1896804,-59977990.86177064,28.7674110376661,-5.808100899148606,-2.654232340888039,153406447.06265444,29.467658936266726
2022-161/00:00.000000,-29191954.20083982,-138077746.6090427,-60198787.87328759,28.86221246805226,-5.360492373705008,-2.456710356700802,153432487.95515248,29.458404790759833
2022-162/00:00.000000,-26694455.09102375,-138521514.181541,-60402492.59383374,28.94898349382312,-4.911731115008509,-2.258586145575049,153457697.54333502,29.449447520263767
2022-163/00:00.000000,-24189806.18991431,-138926463.0286382,-60589055.28300124,29.02771428648537,-4.461929215826771,-2.059910901212769,153482059.1249667,29.440792141955193
